id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
30,2011/12,3rd,Feb 11 2012,Mohammad Ashraful,1,0,10,0,10.00,0,0
0,2011/12,Final,Feb 29 2012,Yasir Arafat,2,0,25,0,12.50,2,0
31,2011/12,2nd,Feb 10 2012,Abdul Razzaq,1,0,8,0,8.00,0,0
32,2011/12,1st,Feb 10 2012,Sohail Tanvir,3,0,20,0,6.66,0,0
25,2011/12,8th,Feb 13 2012,Mosharraf Hossain,3,0,15,0,5.00,0,0
29,2011/12,4th,Feb 11 2012,Yasir Arafat,4,0,34,2,8.50,2,1
24,2011/12,9th,Feb 14 2012,Peter Trego,4,0,33,2,8.25,0,0
10,2012/13,Final,Feb 19 2013,Dilhara Lokuhettige,4,0,29,2,7.25,0,1
28,2011/12,5th,Feb 12 2012,Mahmudullah,3,0,18,2,6.00,1,0
23,2011/12,10th,Feb 14 2012,Nazmul Islam,3,0,33,0,11.00,0,0
21,2011/12,12th,Feb 15 2012,Abdul Razzaq,4,0,26,2,6.50,0,0
18,2011/12,15th,Feb 18 2012,Nabil Samad,4,0,32,2,8.00,1,0
27,2011/12,6th,Feb 12 2012,Elias Sunny,1,0,3,1,3.00,0,0
22,2011/12,11th,Feb 15 2012,Arafat Sunny,2,0,18,0,9.00,0,0
20,2011/12,13th,Feb 16 2012,Arafat Sunny,3,0,17,1,5.66,0,0
19,2011/12,14th,Feb 16 2012,Darren Stevens,1,0,14,0,14.00,0,0
26,2011/12,7th,Feb 13 2012,Andre Russell,3,0,26,1,8.66,0,0
30,2011/12,3rd,Feb 11 2012,Elias Sunny,3,0,35,1,11.66,0,0
0,2011/12,Final,Feb 29 2012,Kabir Ali,2,0,26,0,13.00,0,0
31,2011/12,2nd,Feb 10 2012,Saqlain Sajib,2,0,26,0,13.00,0,0
32,2011/12,1st,Feb 10 2012,Rubel Hossain,2,0,25,0,12.50,0,0
25,2011/12,8th,Feb 13 2012,Elias Sunny,4,0,17,3,4.25,1,0
29,2011/12,4th,Feb 11 2012,Shane Harwood,3.2,0,20,2,6.00,2,0
24,2011/12,9th,Feb 14 2012,Brad Hogg,4,0,33,0,8.25,0,2
10,2012/13,Final,Feb 19 2013,Rubel Hossain,4,0,44,4,11.00,0,0
28,2011/12,5th,Feb 12 2012,Andre Adams,3,0,22,0,7.33,1,1
23,2011/12,10th,Feb 14 2012,Alauddin Babu,2,0,24,1,12.00,0,0
21,2011/12,12th,Feb 15 2012,Marlon Samuels,4,0,22,1,5.50,1,0
18,2011/12,15th,Feb 18 2012,Peter Trego,4,0,50,2,12.50,2,0
27,2011/12,6th,Feb 12 2012,Mohammad Ashraful,2,0,4,1,2.00,0,0
22,2011/12,11th,Feb 15 2012,Enamul Haque jnr,3,0,22,0,7.33,0,0
20,2011/12,13th,Feb 16 2012,Kevon Cooper,4,0,20,2,5.00,1,1
19,2011/12,14th,Feb 16 2012,Mosharraf Hossain,4,0,12,1,3.00,0,0
26,2011/12,7th,Feb 13 2012,Shahadat Hossain,2,0,15,1,7.50,2,0
30,2011/12,3rd,Feb 11 2012,Andre Adams,4,0,34,0,8.50,0,0
0,2011/12,Final,Feb 29 2012,Nazmul Islam,3.4,0,26,0,7.09,1,0
31,2011/12,2nd,Feb 10 2012,Asif Ahmed,1,0,16,0,16.00,0,0
32,2011/12,1st,Feb 10 2012,Naeem Islam,1,0,5,0,5.00,0,0
25,2011/12,8th,Feb 13 2012,Dwayne Bravo,3,0,42,0,14.00,0,1
29,2011/12,4th,Feb 11 2012,Nazmul Islam,3,0,22,2,7.33,0,0
24,2011/12,9th,Feb 14 2012,Shuvagata Hom,1,0,11,0,11.00,1,0
10,2012/13,Final,Feb 19 2013,Enamul Haque jnr,2,0,18,0,9.00,0,0
28,2011/12,5th,Feb 12 2012,Andre Russell,4,0,38,1,9.50,0,0
23,2011/12,10th,Feb 14 2012,Ahmed Shehzad,2,0,25,0,12.50,0,1
21,2011/12,12th,Feb 15 2012,Saqlain Sajib,2,0,20,1,10.00,0,0
18,2011/12,15th,Feb 18 2012,Brad Hogg,4,0,23,0,5.75,1,0
