Product,Rate,Top_Sell_Rank,Popularity_Rank
LARGE BOUL-LOOSE,30.0,463,653
LARGE BOWL-ESSFOAM,2100.0,696,416
LARGE CUPS,30.0,162,229
LARGE FANCY IC,30.0,111,156
LARGE IC,40.0,183,236
LD 5*6 POLY,150.0,726,655
LD 5*7,180.0,429,409
LD 6*7.5(HALF LITRE,180.0,243,280
LD 6.5*10(LITRE),180.0,374,395
LD 8*10,170.0,741,614
LD KIRANA,160.0,394,367
LD NO-1,135.0,720,732
LEADER 10*12 M.W,89.0,551,507
LEADER 13*16 M.W,90.0,559,534
LEADER 16*20 M.W,83.0,670,732
LEADER 8*11 M.W,100.0,670,732
LEAF DONA BIG,550.0,526,190
LEAF DONA SMALL,600.0,567,276
LEAF(100COUNT),590.0,795,655
LEAF(85),370.0,828,655
LEAF-80C,450.0,696,596
LIDS-250ML,20.0,62,502
LIDS-450ML,1.0,26,418
LIDS-450MW,0.33,135,732
LIDS-750 MW,450.0,61,638
LIDS-750ML,400.0,13,332
LITE FOAM(1200),1750.0,205,21
LITEFOAM COLOUR(120,1800.0,765,498
LOCK COVER,1.0,850,732
LOOSE ITEMS,200000.0,142,82
LOOSE KIRANA,160.0,144,37
MAAZA TETRA,330.0,850,732
MADRA DHARAM,38.0,774,732
MEDIUM BOUL CLA(540,2270.0,652,364
MEDIUM BOUL LOOSE,30.0,660,655
MILAN 10*12 BLACK,7.0,371,655
MILAN 13*16 BLACK,13.75,575,732
MILAN 4*5 POLY,14.0,57,115
MILAN 4*6 POLY,15.0,398,643
MILAN 5*6 POLY,18.0,120,217
MINIBOUL,53.0,411,704
MIXING PLATE COVER,70.0,774,732
N0-5,160.0,191,25
NAPKEEN 2ND,15.0,63,84
NAPKEENS 24*24,20.0,307,390
NAPKEENS 27*27,17.0,236,384
NAPKEENS 2ND-SPECIA,20.0,362,477
NAPKEENS PRINT 33*3,50.0,850,732
NAPKEENS-BOX PACKIN,53.0,364,361
NELLORE DHARALU,30.0,600,655
NIFTY 10*12 -BLU,6.5,260,532
NIFTY 10*12 PINK,7.0,25,166
NIFTY PINK 13*16,13.0,148,319
NO-0,1540.0,124,11
NO-0 SP,160.0,628,376
NO-00,160.0,138,14
NO-00 SP,160.0,690,477
NO-000,162.0,152,56
NO-1,160.0,123,10
NO-1-SP,160.0,521,302
NO-10,160.0,423,161
NO-2,160.0,164,19
NO-2 SP,160.0,530,311
NO-3,160.0,252,41
NO-4,160.0,834,732
NO-5,160.0,517,223
NO-5 SP,160.0,586,296
NO-5-SP,160.0,774,732
NO-7,160.0,828,732
NON WOVEN 10*12 100,80.0,295,244
NON WOVEN 10*14,230.0,294,281
NON WOVEN 13*16 100,230.0,190,128
NON WOVEN 16*20 -CL,140.0,850,732
NON WOVEN 16*20 100,250.0,318,203
NON WOVEN 9*12 100P,120.0,196,186
NON WOVEN BAG 10*12,230.0,439,420
NON WOVEN BAG 13*16,140.0,463,339
NON WOVEN BAG D-CUT,132.0,607,712
NON-WOV 10*12 CL,140.0,765,732
NON-WOVEN BAG 16*20,140.0,500,374
NON-WOVEN BAG 9*12 ,130.0,670,732
NR TEA,11.0,285,467
OKAY SPOONS,60.0,389,482
ORACLE 300ML FANCY,2.0,445,704
OWN ITEM,1.0,850,732
PACKING COVERS,150.0,486,548
PAL 9-METERS,25.0,712,596
PAN BOX,85.0,654,596
PAPER JUICE 150ML,40.0,633,626
PAPER JUICE 190ML,65.0,566,566
PAPER JUICE 210M/C,55.0,149,145
PAPER JUICE 210ML,50.0,258,218
PAPER JUICE 250M/C,71.0,212,266
PAPER JUICE 250ML,70.0,115,412
PAPER JUICE GLASS 3,55.0,630,626
PAPER LEAF,450.0,532,324
PAPER TEA,40.0,33,17
PAPER TEA -100ML TA,40.0,158,179
PAPER TEA -65ML,30.0,220,355
PAPER TEA -AL,24.0,147,271
PAPER TEA 150ML,52.0,151,400
PAPER TEA 150ML IRC,38.0,540,712
PAPER TEA 80ML LONG,36.0,58,59
PAPER TEA GOODWILL,33.0,354,534
PAPER TEA GOODWILL ,35.0,457,586
PAPER TEA PRINTING,24.0,233,342
PAPER TEA-100ML,40.0,161,159
PAPER TEA-110ML,37.0,160,335
PAPER TEA-65ML,26.5,88,157
PAPER TEA-65ML(100),30.0,79,177
PAPER TEA-75ML(100C,40.0,211,254
PEACOCK 13*16,11.0,540,732
PEPSI 2.0,28.0,259,422
PEPSI 300ML,29.0,305,579
PEPSI WATER,27.0,575,626
PET WATER GLASS,1.5,249,732
PIN BOX,95.0,571,405
"PINK PLATE-10""",12.0,417,545
"PINK PLATES -6""",7.0,200,253
"PINK PLATES 8""",9.0,237,270
"PINK PLATES 9""",10.0,407,469
"PINK PLATES-7""",10.0,71,126
PITTA DHARAM BIG SI,18.0,480,506
PITTA DHARAM BOX-SM,17.0,607,655
PLASTIC BOULS -LOOS,180.0,834,732
PLASTICS SCRUBEER,10.0,646,732
PLATES LOOSE,90.0,431,608
POLY 5*8 M.W,36.0,670,732
POLY 6*9,85.0,745,622
POLY 8*11,150.0,792,655
PP,165.0,141,49
PP (+) 3.5*3.5,165.0,422,276
PP + 5*6,160.0,456,202
PP + 7*10,160.0,560,303
PP +(10*14),160.0,349,327
PP +(5*7),156.0,554,300
PP +(6*7),160.0,361,134
PP +(8*10),155.0,504,256
PP +(9*11),160.0,401,250
PP +7*8,155.0,508,308
PP +7*9,160.0,326,117
PP 10*12,165.0,597,324
PP 10*12 +,160.0,638,422
PP 10*14,155.0,690,643
PP 12*14,155.0,757,712
PP 12*14 +,160.0,699,579
PP 12*16,165.0,661,355
PP 12*16 +,160.0,583,430
PP 16*18,160.0,642,586
PP 16*20,165.0,628,406
PP 18*20,165.0,308,373
PP 2.5*2.5,175.0,420,169
PP 20*26,160.0,471,334
PP 22*24,160.0,484,333
PP 3*3,165.0,289,119
PP 3*3+,165.0,727,732
PP 3*4,165.0,408,152
PP 3*4 +,160.0,812,732
PP 3.5 *4,160.0,710,712
PP 3.5*3.5,165.0,433,275
PP 4*4,165.0,352,124
PP 4*4+,160.0,712,579
PP 4*5,165.0,418,164
PP 4*5 +,160.0,521,341
PP 4*6,160.0,519,259
PP 4*6+,160.0,701,530
PP 5*5,155.0,483,282
PP 5*5+,155.0,725,534
PP 5*6,160.0,424,201
PP 5*7,155.0,393,271
PP 6*6,155.0,592,378
PP 6*6 +,154.0,755,626
PP 6*7,156.0,363,168
PP 6*8,156.0,342,268
PP 6*9,160.0,606,464
PP 6*9 +,153.0,754,608
PP 7*12+,154.0,774,712
PP 7*7,155.0,812,732
PP 7*7 +,155.0,642,550
PP 7*8,160.0,387,193
PP 7*9,160.0,402,200
PP 8*10,160.0,405,212
PP 8*7 +,139.0,774,732
PP 8*8,155.0,812,732
PP 8*8 +,140.0,757,655
PP 8*9,160.0,619,492
PP 8*9+,158.0,641,441
PP 9*11,160.0,513,310
PP 9*12,160.0,341,443
PP 9*12 +,165.0,451,358
PP+(6*8),160.0,485,243
PP+(8*12),160.0,432,339
PREMIER TISSUES,55.0,338,533
PREMIUM 13*16 BLUE,13.0,114,288
PREMIUM 13*16 M.W,100.0,532,534
PRESSING COVER 2.5*,11.0,327,638
PRESSING COVER 3*4,25.0,179,160
PRESSING COVER 4*5,65.0,194,171
PRESSING COVER 4*6,46.0,317,327
PRESSING COVER 5*6,65.0,399,350
PRESSING COVER 5*7,60.0,580,552
PRESSING COVER 6*8,100.0,481,403
PRESSING COVER 8*10,110.0,602,530
PRESSING COVER-2*3,12.0,137,151
PRINT 13*16,145.0,250,213
PRINT 13*16 CARRY,140.0,290,299
PRINT 17*23,110.0,757,712
PRINT 20*26,120.0,812,732
PRINT-10*12 CAR,120.0,281,286
PRINT-16*20 CARRY,140.0,297,194
PRINTING COVER 100G,175.0,496,195
PRINTING COVER-50GR,175.0,411,189
PRINTING NAPKEENS,50.0,604,596
PRINTING PP,180.0,377,215
PRINTING PP 1KG,175.0,473,263
PRINTING PP 250GRAM,180.0,528,261
PRINTING PP 2KG,180.0,690,438
PRINTING PP 500GRAM,175.0,546,279
PRINTING PP-SP,180.0,828,732
PRINTING WATER GLAS,60.0,439,643
PRIYA 10*12-BLUE KG,90.0,561,643
PRIYA 13*16-BLUE KG,90.0,540,704
PRIYA 16*20-BLUE KG,89.0,607,732
RADHE-BK-KG,88.0,727,732
RAJA BOUL(5250),2100.0,850,732
RANGOLI 13*16,115.0,701,655
RANGOLI 13*16 CL,120.0,546,571
RANGOLI 16*20 KG,125.0,546,522
RASNA COVER,160.0,370,278
RELIANCE GLASS,35.0,607,732
RELIANCE WATER GLAS,39.0,389,552
ROBO 10*12,5.5,8,53
ROBO 10*12 BK,6.0,95,265
ROBO 13*16 BLUE,100.0,56,109
ROLLS,110.0,91,72
ROLLS 1/2 AND 1/2,90.0,254,273
ROLLS GOLD,120.0,167,114
ROLLS-KGS,110.0,324,285
ROLLS-PAPER KG,90.0,421,418
ROLLS-PURE,90.0,655,626
ROPE-SUPER,30.0,850,732
ROYAL ENJOY(750),2150.0,828,732
ROYAL NAPKEENS,23.0,240,511
RR 300ML,26.0,121,172
RR WATER GLASS,22.0,132,229
RR WINEGLASS,22.0,110,174
RUBBER,340.0,298,67
"RUBBER 0""",310.0,747,477
"RUBBER 1""",340.0,524,284
RUBBER 1/2 KG PACKE,160.0,574,306
RUBBER 100G,400.0,565,260
RUBBER 200GRAM,100.0,767,596
"RUBBER 3""",320.0,727,430
RUCHI 4*5,17.0,670,732
RUCHI 5*6,21.0,504,614
RUF&TUF -FORK,35.0,383,301
RUF-TUF BIG M.W,40.0,270,204
SAGAR 80ML,18.0,68,185
SAMBAR COVERS,23.0,720,732
SAMBAR CUPS,150.0,646,655
SAMSUNG 16*20 BLU,22.5,607,732
SCRUBBER,75.0,235,294
SCRUBBER-PREMIER,40.0,607,732
"SEVANA 10""",1900.0,701,452
"SEVANA 12""",2300.0,768,511
"SEVANA 8""",1300.0,718,492
"SEVANA 8""MACHINE",1000.0,834,732
SILV 660 LOOSE,2.3,607,732
SILV CONT-(660),2350.0,850,732
SILV FOIL SUPR 75,150.0,803,732
SILV--250ML-LOOSE,2600.0,107,196
SILV--450-LOOSE,170.0,81,165
SILV-750ML-LOOSE,270.0,73,138
SILV-CONT-250ML(200,2600.0,539,149
SILV-CONT-450ML(150,2600.0,426,89
SILV-CONT-750ML(100,3600.0,127,44
SILVER BOULS LOOSE,150.0,688,732
SILVER COATED FORK,55.0,720,712
SILVER COATED SPOON,50.0,223,347
SILVER COVER 4*6,210.0,812,732
SILVER COVER 5*7,205.0,449,552
SILVER COVER 6*8,200.0,404,486
SILVER COVER 7*9,180.0,535,472
SILVER COVER 8*10,210.0,501,524
SILVER COVER LOOSE,210.0,585,552
SILVER FOIL 9MTR,40.0,633,571
SILVER FOIL ROLL,230.0,287,144
SILVER FOIL ROLL 75,165.0,534,483
SILVER FOIL-1KG ROL,230.0,619,402
SILVER FOIL-72MTRS,210.0,537,565
SILVER PLATE 6,4.0,53,147
SILVER PLATE 7,10.0,87,141
SILVER PLATE 8,15.0,299,343
"SILVER PLATE 9""",22.0,267,358
SILVER PLATE COVER,75.0,255,153
SILVER PLATE(1300),1560.0,690,481
"SILVER PLATES -10""",25.0,89,348
SILVER PLATES 5,3.5,670,732
SILVER PLATES-5,4.0,301,524
SILVER POUCH,205.0,669,596
SILVER POUCH 4*6,220.0,309,293
SILVER POUCH 5*7,210.0,184,143
SILVER POUCH 6*8,215.0,93,43
